,sentence,support_keyword,after_conclusion_keyword,previous_conclusion_keyword
0,"sclerochronology provides an important and widely used tool to examine annual environmental patterns in marine systems, but few similar tools have been developed to establish ecological indicators in freshwaters on a seasonal scale.",0,0,0
1,"previous work using marine mussels as ecological indicators have practiced shell ashing, acetate peels, and thin sectioning, all of which destroy the specimens.",0,0,0
2,"we studied the external annual rings of three freshwater mussel species with clear annual bands from the river medway, uk, in order to non-invasively investigate the relationship between banding patterns, growth parameters, location, and seasonal water temperatures.",0,0,0
3,we tested the accuracy and precision of this method through repetition of measurements and the reproduction of results through separate agers.,0,0,0
4,"overall, mussels living downstream had higher length-at-age curves, asymptotic lengths (l∞), and growth constants (k) than those living upstream.",0,0,0
5,"in unio pictorum and unio tumidus, there was a negative relationship between asymptotic lengths and growth constants, indicating that larger asymptotic lengths took more time to reach.",1,0,0
6,unio tumidus had the highest asymptotic lengths and the lowest growth constants across sites while unio pictorum had the lowest asymptotic lengths and the highest growth constants across sites.,0,0,0
7,anodonta anatina showed simultaneously increasing asymptotic lengths with increasing growth constants and had the highest overall lengths of all three species.,0,0,0
8,"summer water temperatures had the largest positive effect on annual growth, followed by spring and winter water temperatures, while autumnal temperatures had a negative impact on growth.",0,1,0
9,"the findings of this study suggest that through their annual banding, freshwater mussels can be used as tools to document historical water temperatures, especially in the warmer months of spring and summer, and can therefore serve as powerful indicators of spatial and temporal patterns in water temperature.",1,0,0
10,"such tools can help infer palaeoclimatic conditions from fossil and subfossil shells, establish baselines for understanding future climatic change, and support conservation efforts aimed at protecting temperature-sensitive taxa.",0,1,1
11,"freshwater ecosystems are facing a ‘global crisis’ (strayer and dudgeon, 2010) as a result of increasing human demands (i.e. irrigation, potable supplies, aquaculture, industrial uses, and sanitation) combined with greater fragmentation, impoundment, pollution, introduction of non-native species and effects of climate change (johnson and evans, 1990; vörösmarty et al., 2000; strayer and dudgeon, 2010).",0,0,0
12,"climate change, in particular, affects freshwaters species more than marine or terrestrial species since freshwater temperatures are highly dependent on air temperatures, and habitats are often fragmented, limiting the ability of species to move as the environment changes (jenkins, 2003; woodward et al., 2010).",1,1,1
